             x               y  bin
    -23.199969      -19.999926  167
    -23.199947      -19.200059  167
    -23.199911      -18.400069  167
    -23.199902      -17.600094  167
    -23.199959      -16.799951  167
    -23.199969      -15.999962  167
    -23.200086      -15.200021  167
    -22.399995      -19.999929  167
    -22.400069      -19.200003  167
    -22.400087      -18.400054  167
    -22.399905      -17.599937  167
    -22.399942      -16.799982  167
    -22.400075      -15.999922  167
     -22.39994      -15.200072  167
    -22.400002      -14.400084  167
    -22.399944      -13.600027  167
    -22.399982      -12.799979  159
     -22.39993      -12.000059  159
    -22.399925      -11.200055  161
    -22.399974      -10.399932  161
    -22.400045      -9.6000553  161
    -22.400099      -8.7999253  161
    -22.400037      -8.0000297  161
    -22.399914      -7.1999251  161
     -22.39992      -6.4000416  161
     -21.59996      -19.999955  167
    -21.599935      -19.200007  167
    -21.599909      -18.400013  167
    -21.599931      -17.599953  167
    -21.600054      -16.799977  167
    -21.599943      -16.000049  167
    -21.599942      -15.199985  167
    -21.599906      -14.400097  167
    -21.600065      -13.599962  167
    -21.599994      -12.800075  159
    -21.600001       -12.00006  159
    -21.599931      -11.200004  161
    -21.599989       -10.40002  161
    -21.600029      -9.5999321  161
     -21.59992      -8.7999947  161
    -21.599957      -8.0000269  161
    -21.600003      -7.1999829  161
    -21.600081      -6.3999031  161
         -21.6       -5.600099  161
     -21.59997      -4.7999671  168
    -21.599912      -4.0000866  168
    -21.599935      -3.2000351  168
    -21.599966      -2.3999436  168
    -21.600063      -1.6000564  168
    -21.600082       -0.799989  168
    -21.599926  -6.6895103e-05  168
    -21.599961      0.80005611  184
    -21.600041        1.599927  184
    -21.599917       2.4000654  184
    -20.800022       -19.99996  167
    -20.800013      -19.200032  167
     -20.79994      -18.400049  167
    -20.799934      -17.599922  167
     -20.80005      -16.800025  167
    -20.800013      -16.000052  167
     -20.80007      -15.199961  167
    -20.799919      -14.400016  167
    -20.799958      -13.599974  159
    -20.799903      -12.800079  159
    -20.799929      -12.000074  159
    -20.799941      -11.199933  159
    -20.800015      -10.399944  161
    -20.799917      -9.5999017  161
    -20.800077      -8.7999352  161
    -20.800088      -8.0000569  161
    -20.799963      -7.2000561  161
    -20.800032      -6.3999279  161
    -20.799919      -5.6000973  161
    -20.800097      -4.7999005  168
    -20.799983      -4.0000904  168
    -20.799962      -3.2000342  168
    -20.800047      -2.3999139  168
    -20.800024      -1.5999611  168
    -20.799949     -0.79995697  168
    -20.800085  -1.7650682e-05  168
    -20.799958      0.79992758  184
     -20.79991       1.6000143  184
    -20.799937       2.4000793  184
    -20.800049       3.2000164  184
    -20.800028       3.9999525  184
    -20.800029       4.7999495  184
    -20.799921       5.5999318  184
    -20.799998       6.4000174  266
    -20.800085       7.2000944  266
    -20.800056       7.9999188  266
    -20.799921       8.8000224  266
     -20.79995       9.5999908  266
    -20.799999       10.399946  336
    -20.799932       11.200019  336
    -20.000072      -20.000045  167
    -19.999944      -19.200004  167
    -20.000002      -18.399998  167
    -19.999993      -17.600013  167
     -19.99998      -16.800096  167
    -20.000058      -15.999955  167
    -19.999989      -15.199918  167
    -19.999921       -14.40009  159
    -19.999994      -13.599904  159
    -20.000053      -12.799987  159
    -19.999962      -12.000097  159
    -20.000096      -11.200023  159
    -20.000022      -10.400072  161
    -19.999943      -9.6000757  161
    -19.999982      -8.7999182  161
    -20.000081      -7.9999186  161
    -19.999931      -7.1999704  161
    -19.999943      -6.4000839  161
    -20.000045      -5.6000613  161
    -19.999943      -4.7999274  168
    -19.999981      -3.9999855  168
    -19.999916      -3.1999161  168
     -20.00003       -2.400007  168
    -19.999925      -1.6000099  168
     -19.99992     -0.79997538  168
    -20.000094   -3.935516e-07  168
    -19.999901      0.80006735  184
    -19.999971       1.5999079  184
    -19.999951        2.399902  184
    -20.000023       3.2000207  184
    -20.000062       4.0000525  184
    -19.999946       4.8000027  184
    -19.999919       5.5999797  266
    -19.999999       6.3999779  266
    -19.999908       7.2000112  266
    -20.000069       7.9999006  266
