#              x               y      signal       noise
      -23.199969      -19.999926       30.54        5.33
      -23.199947      -19.200059       31.60        5.31
      -23.199911      -18.400069       32.66        5.47
      -23.199902      -17.600094       32.69        5.17
      -23.199959      -16.799951       33.49        5.91
      -23.199969      -15.999962       33.04        5.75
      -23.200086      -15.200021       32.15        4.96
      -22.399995      -19.999929       32.35        5.79
      -22.400069      -19.200003       31.65        5.31
      -22.400087      -18.400054       33.11        5.66
      -22.399905      -17.599937       33.06        4.78
      -22.399942      -16.799982       32.55        5.07
      -22.400075      -15.999922       32.96        5.19
      -22.399940      -15.200072       34.10        5.70
      -22.400002      -14.400084       34.96        6.81
      -22.399944      -13.600027       36.30        5.60
      -22.399982      -12.799979       36.07        6.28
      -22.399930      -12.000059       35.56        6.35
      -22.399925      -11.200055       36.30        5.30
      -22.399974      -10.399932       39.27        6.57
      -22.400045      -9.6000553       39.68        6.44
      -22.400099      -8.7999253       40.40        5.90
      -22.400037      -8.0000297       39.24        6.15
      -22.399914      -7.1999251       42.72        6.96
      -22.399920      -6.4000416       38.21        6.17
      -21.599960      -19.999955       33.23        6.25
      -21.599935      -19.200007       30.25        6.32
      -21.599909      -18.400013       34.00        5.89
      -21.599931      -17.599953       32.40        5.32
      -21.600054      -16.799977       32.34        5.56
      -21.599943      -16.000049       34.23        6.30
      -21.599942      -15.199985       32.70        5.88
      -21.599906      -14.400097       36.61        6.68
      -21.600065      -13.599962       35.30        6.33
      -21.599994      -12.800075       36.71        6.71
      -21.600001      -12.000060       37.51        5.98
      -21.599931      -11.200004       40.12        5.89
      -21.599989      -10.400020       41.10        6.75
      -21.600029      -9.5999321       39.54        6.08
      -21.599920      -8.7999947       40.62        6.47
      -21.599957      -8.0000269       44.12        6.55
      -21.600003      -7.1999829       45.69        6.36
      -21.600081      -6.3999031       50.79        7.62
      -21.600000      -5.6000990       45.01        6.80
      -21.599970      -4.7999671       51.52        7.17
      -21.599912      -4.0000866       45.29        6.52
      -21.599935      -3.2000351       54.29        8.16
      -21.599966      -2.3999436       61.58        8.28
      -21.600063      -1.6000564       61.21        7.78
      -21.600082     -0.79998900       66.82        7.42
      -21.599926 -6.6895103e-005       69.25        8.26
      -21.599961      0.80005611       66.69        7.70
      -21.600041       1.5999270       64.15        7.49
      -21.599917       2.4000654       56.22        7.62
      -20.800022      -19.999960       33.01        5.03
      -20.800013      -19.200032       33.47        5.75
